Store,Date,Temperature,Fuel_Price,MarkDown,CPI,Unemployment,IsHoliday,Weekly_Sales,Test
1,40214,42.31,2.572,0,211.0963582,8.106,0,106690.06,
1,40221,38.51,2.548,0,211.2421698,8.106,1,111390.36,
1,40228,39.93,2.514,0,211.2891429,8.106,0,107952.07,
1,40235,46.63,2.561,0,211.3196429,8.106,0,103652.58,
1,40242,46.5,2.625,0,211.3501429,8.106,0,112807.75,
1,40249,57.79,2.667,0,211.3806429,8.106,0,112048.41,
1,40256,54.58,2.72,0,211.215635,8.106,0,117716.13,
1,40263,51.45,2.732,0,211.0180424,8.106,0,113117.35,
1,40270,62.27,2.719,0,210.8204499,7.808,0,111466.37,
1,40277,65.86,2.77,0,210.6228574,7.808,0,116770.82,
1,40284,66.32,2.808,0,210.4887,7.808,0,126341.84,
1,40291,64.84,2.795,0,210.4391228,7.808,0,110204.77,
1,40298,67.41,2.78,0,210.3895456,7.808,0,107648.14,
1,40305,72.55,2.835,0,210.3399684,7.808,0,125592.28,
1,40312,74.78,2.854,0,210.3374261,7.808,0,120247.9,
1,40319,76.44,2.826,0,210.6170934,7.808,0,120036.99,
1,40326,80.44,2.759,0,210.8967606,7.808,0,121902.19,
1,40333,80.69,2.705,0,211.1764278,7.808,0,133056.97,
1,40340,80.43,2.668,0,211.4560951,7.808,0,131995,
1,40347,84.11,2.637,0,211.4537719,7.808,0,134118.05,
1,40354,84.34,2.653,0,211.3386526,7.808,0,120172.47,
1,40361,80.91,2.669,0,211.2235333,7.787,0,124821.44,
1,40368,80.48,2.642,0,211.108414,7.787,0,126241.2,
1,40375,83.15,2.623,0,211.1003854,7.787,0,121386.73,
1,40382,83.36,2.608,0,211.2351443,7.787,0,116256.35,
1,40389,81.84,2.64,0,211.3699032,7.787,0,108781.57,
1,40396,87.16,2.627,0,211.5046621,7.787,0,131128.96,
1,40403,87,2.692,0,211.6394211,7.787,0,131288.83,
1,40410,86.65,2.664,0,211.6033633,7.787,0,124601.48,
1,40417,85.22,2.619,0,211.5673056,7.787,0,117929.58,
1,40424,81.21,2.577,0,211.5312479,7.787,0,124220.1,
1,40431,78.69,2.565,0,211.4951902,7.787,1,125027.49,
1,40438,82.11,2.582,0,211.5224596,7.787,0,124372.9,
1,40445,80.94,2.624,0,211.5972246,7.787,0,114702.69,
1,40452,71.89,2.603,0,211.6719895,7.838,0,113009.41,
1,40459,63.93,2.633,0,211.7467544,7.838,0,120764.22,
1,40466,67.18,2.72,0,211.8137436,7.838,0,123510.99,
1,40473,69.86,2.725,0,211.8612937,7.838,0,110052.15,
1,40480,69.64,2.716,0,211.9088438,7.838,0,105793.4,
1,40487,58.74,2.689,0,211.9563939,7.838,0,110332.92,
1,40494,59.61,2.728,0,212.003944,7.838,0,110209.31,
1,40501,51.41,2.771,0,211.8896737,7.838,0,107544.02,
1,40508,64.52,2.735,0,211.7484333,7.838,1,106015.41,
1,40515,49.27,2.708,0,211.607193,7.838,0,100834.31,
1,40522,46.33,2.843,0,211.4659526,7.838,0,111384.36,
1,40529,49.84,2.869,0,211.4053124,7.838,0,116521.67,
1,40536,52.33,2.886,0,211.4051222,7.838,0,121695.13,
1,40543,48.43,2.943,0,211.4049321,7.838,1,93676.95,
1,40550,48.27,2.976,0,211.4047419,7.742,0,107317.32,
1,40557,35.4,2.983,0,211.4574109,7.742,0,109955.9,
1,40564,44.04,3.016,0,211.8272343,7.742,0,103724.16,
1,40571,43.83,3.01,0,212.1970577,7.742,0,99043.34,
1,40578,42.27,2.989,0,212.5668812,7.742,0,114270.08,
1,40585,36.39,3.022,0,212.9367046,7.742,1,117548.75,
1,40592,57.36,3.045,0,213.2478853,7.742,0,112165.8,
1,40599,62.9,3.065,0,213.535609,7.742,0,107742.95,
1,40606,59.58,3.288,0,213.8233327,7.742,0,116225.68,
1,40613,53.56,3.459,0,214.1110564,7.742,0,120621.32,
1,40620,62.76,3.488,0,214.3627114,7.742,0,123405.41,
1,40627,69.97,3.473,0,214.5999389,7.742,0,122280.13,
1,40634,59.17,3.524,0,214.8371664,7.682,0,112905.09,
1,40641,67.84,3.622,0,215.0743939,7.682,0,126746.25,
1,40648,71.27,3.743,0,215.2918561,7.682,0,126834.3,
1,40655,72.99,3.807,0,215.4599053,7.682,0,118632.26,
1,40662,72.03,3.81,0,215.6279544,7.682,0,111764.31,
1,40669,64.61,3.906,0,215.7960035,7.682,0,120882.84,
1,40676,75.64,3.899,0,215.9640526,7.682,0,124953.94,
1,40683,67.63,3.907,0,215.7339202,7.682,0,112581.2,
1,40690,77.72,3.786,0,215.5037878,7.682,0,119815.67,
1,40697,83,3.699,0,215.2736553,7.682,0,135260.49,
1,40704,83.13,3.648,0,215.0435229,7.682,0,136364.46,
1,40711,86.41,3.637,0,214.9980596,7.682,0,135197.63,
1,40718,83.58,3.594,0,215.0910982,7.682,0,121814.84,
1,40725,85.55,3.524,0,215.1841368,7.962,0,128054.88,
1,40732,85.83,3.48,0,215.2771754,7.962,0,133213.04,
1,40739,88.54,3.575,0,215.3611087,7.962,0,127906.5,
1,40746,85.77,3.651,0,215.4222784,7.962,0,121483.11,
1,40753,86.83,3.682,0,215.4834482,7.962,0,117284.94,
1,40760,91.65,3.684,0,215.544618,7.962,0,138538.47,
1,40767,90.76,3.638,0,215.6057878,7.962,0,138567.1,
1,40774,89.94,3.554,0,215.6693107,7.962,0,133260.84,
1,40781,87.96,3.523,0,215.7332258,7.962,0,122721.92,
1,40788,87.83,3.533,0,215.7971409,7.962,0,130446.34,
1,40795,76,3.546,0,215.861056,7.962,1,133762.77,
1,40802,79.94,3.526,0,216.0410526,7.962,0,133939.4,
1,40809,75.8,3.467,0,216.3758246,7.962,0,116165.28,
1,40816,79.69,3.355,0,216.7105965,7.962,0,115663.78,
1,40823,69.31,3.285,0,217.0453684,7.866,0,132805.42,
1,40830,71.74,3.274,0,217.3552733,7.866,0,125954.3,
1,40837,63.71,3.353,0,217.5159762,7.866,0,116931.34,
1,40844,66.57,3.372,0,217.6766791,7.866,0,108018.21,
1,40851,54.98,3.332,0,217.837382,7.866,0,114793.92,
1,40858,59.11,3.297,1,217.9980849,7.866,0,115047.16,
1,40865,62.25,3.308,1,218.2205088,7.866,0,113966.34,
1,40872,60.14,3.236,1,218.4676211,7.866,1,112688.97,
1,40879,48.91,3.172,1,218.7147333,7.866,0,102798.99,
1,40886,43.93,3.158,1,218.9618456,7.866,0,119053.8,
1,40893,51.63,3.159,1,219.1794533,7.866,0,120721.07,
1,40900,47.96,3.112,1,219.3577216,7.866,0,125041.39,
1,40907,44.55,3.129,1,219.5359898,7.866,1,93358.91,
1,40914,49.01,3.157,1,219.7142581,7.348,0,116427.93,
1,40921,48.53,3.261,1,219.8925263,7.348,0,118685.12,
1,40928,54.11,3.268,1,219.9856893,7.348,0,113021.23,
1,40935,54.26,3.29,1,220.0788523,7.348,0,102202.04,
1,40942,56.55,3.36,1,220.1720153,7.348,0,115507.25,
1,40949,48.02,3.409,1,220.2651783,7.348,1,125038.09,
1,40956,45.32,3.51,1,220.4257586,7.348,0,119807.63,
1,40963,57.25,3.555,1,220.636902,7.348,0,110870.94,
1,40970,60.96,3.63,1,220.8480454,7.348,0,118406.27,
1,40977,58.76,3.669,1,221.0591887,7.348,0,125840.82,
1,40984,64.74,3.734,1,221.2118132,7.348,0,132318.5,
1,40991,65.93,3.787,1,221.2864126,7.348,0,117030.73,
1,40998,67.61,3.845,1,221.3610119,7.348,0,127706,
1,41005,70.43,3.891,1,221.4356112,7.143,0,137958.76,Test
1,41012,69.07,3.891,1,221.5102105,7.143,0,129438.22,Test
1,41019,66.76,3.877,1,221.5640737,7.143,0,123172.79,Test
1,41026,67.23,3.814,1,221.6179368,7.143,0,118589.44,Test
1,41033,75.55,3.749,1,221.6718,7.143,0,130920.36,Test
1,41040,73.77,3.688,1,221.7256632,7.143,0,131341.85,Test
1,41047,70.33,3.63,1,221.742674,7.143,0,129031.19,Test
1,41054,77.22,3.561,1,221.744944,7.143,0,127603,Test
1,41061,77.95,3.501,1,221.7472139,7.143,0,130573.37,Test
1,41068,78.3,3.452,1,221.7494839,7.143,0,139857.1,Test
1,41075,79.35,3.393,1,221.7626421,7.143,0,140806.36,Test
1,41082,78.39,3.346,1,221.8030211,7.143,0,124594.4,Test
1,41089,84.88,3.286,1,221.8434,7.143,0,131935.56,Test
1,41096,81.57,3.227,1,221.8837789,6.908,0,148798.05,Test
1,41103,77.12,3.256,1,221.9241579,6.908,0,129724.74,Test
1,41110,80.42,3.311,1,221.9327267,6.908,0,126861.49,Test
1,41117,82.66,3.407,1,221.9412954,6.908,0,121030.79,Test
1,41124,86.11,3.417,1,221.9498642,6.908,0,134832.22,Test
1,41131,85.05,3.494,1,221.9584329,6.908,0,137408.2,Test
1,41138,84.85,3.571,1,222.0384109,6.908,0,136264.68,Test
1,41145,77.66,3.62,1,222.1719457,6.908,0,118845.34,Test
1,41152,80.49,3.638,1,222.3054805,6.908,0,124741.33,Test
1,41159,83.96,3.73,1,222.4390153,6.908,1,140657.4,Test
1,41166,74.97,3.717,1,222.5820193,6.908,0,128542.73,Test
1,41173,69.87,3.721,1,222.7818386,6.908,0,119121.35,Test
1,41180,76.08,3.666,1,222.9816579,6.908,0,115326.47,Test
1,41187,68.55,3.617,1,223.1814772,6.573,0,127009.22,Test
1,41194,62.99,3.601,1,223.3812965,6.573,0,124559.93,Test
1,41201,67.97,3.594,1,223.4257233,6.573,0,123346.24,Test
1,41208,69.16,3.506,1,223.4442513,6.573,0,117375.38,Test
